BusinessName,Job,City
2 X 4,Design,Quebec
90 Degrees Mfg. Corp.,Supplier,British Columbia
A&A HOLZ INC.,Manufacturer,British Columbia
AB SPECS,Design,Southern Alberta
Abel Corporation,Manufacturer,Northern Alberta
Able Woodwork,Manufacturer,Southern Alberta
Abugov Kaspar,Design,Southern Alberta
ACDF Architecture,Design,Quebec
ACI Architecture,Design,Northern Alberta
Acorn Design Concepts,Design,Southern Alberta
Adamson Associates Architects,Design,Ontario
Adservco Group,Supplier,Ontario
Aiguisatek,Supplier,Quebec
Akhurst Machinery Ltd.,Supplier,Atlantic
Akhurst Machinery Ltd.,Supplier,British Columbia
Akhurst Machinery Ltd.,Supplier,Ontario
Alaska Wood Industries,Manufacturer,Ontario
"Alberta Employment, Immigration & Industry",Allied,Southern Alberta
Alexandria Moulding,Supplier,Ontario
All Wood Fine Interiors Ltd.,Manufacturer,Ontario
Allwood Carpentry Mfg.,Manufacturer,Ontario
Alpinetech Millwork Inc.,Manufacturer,British Columbia
Ami du Bois,Manufacturer,Quebec
"Amron Homes, Amron Construction, Heartstone Cabinets (a division of Demke Enterprises)",Manufacturer,Southern Alberta
Apollo Industries Ltd.,Manufacturer,British Columbia
Archi-,Design,Quebec
ARCHITECT@WORK Canada,Allied,Ontario
Architectes Labonté Marcil (AALM) (les),Design,Quebec
Architectural Millwork & Door Installations Inc. (AMDI),Installer,Ontario
Architecture Counsel Inc,Design,Ontario
Architecture49 Halifax,Design,Atlantic
Architem inc,Design,Quebec
Archmill House Inc.,Manufacturer,Ontario
Art for Everyday Inc.,Supplier,Ontario
Art Magic Carpentry,Supplier,Ontario
Artsy Contracting Co. Ltd.,Manufacturer,British Columbia
Arup Datta Architect Ltd.,Design,Southern Alberta
Association of Registered Interior Designers of Ontario (ARIDO),Allied,Ontario
Atelier Guy Architectes,Design,Quebec
Atelier Spazio,Design,Quebec
Atlantic Millwork,Manufacturer,Atlantic
Axis Insurance Managers Inc.,Supplier,British Columbia
B+B,Design,Quebec
Bamco Custom Woodworking,Manufacturer,Ontario
Baywood Interiors Ltd.,Manufacturer,Ontario
BCIT Joinery Department,Allied,British Columbia
"Beaupré, Michaud et associés, Architectes",Design,Quebec
Bec Woodcraft,Manufacturer,Southern Alberta
Beckville Woodcrafts 2022 Ltd.,Manufacturer,British Columbia
Bélanger Salach Architecture,Design,Ontario
Benchmark Architectural Woodworking Inc.,Manufacturer,British Columbia
Bendt Kitchens & Millwork Inc.,Manufacturer,Ontario
Bennett Design Associates Inc.,Design,Ontario
Berkshire Contracting Ltd.,Manufacturer,Southern Alberta
Bernard Head,Life,Southern Alberta
BGLA - Montréal,Design,Quebec
BGLA - Québec,Design,Quebec
Biesse Canada Inc.,Supplier,Ontario
Bilodeau Baril Leeming Architectes,Design,Quebec
BKDI Architects,Design,Southern Alberta
Block Interior Design Inc.,Design,Southern Alberta
Blum Canada,Supplier,Quebec
Blum Canada Ltd.,Supplier,Atlantic
Blum Canada Ltd.,Supplier,British Columbia
Blum Canada Ltd.,Supplier,Ontario
Blum Canada Ltd.,Supplier,Saskatchewan
Bois Lamica,Supplier,Quebec
Boisdaction,Manufacturer,Quebec
Bold Interior Design Inc.,Design,Northern Alberta
Botelho Wood Architects,Design,Ontario
BR2 Architects,Design,Northern Alberta
Brenlo Ltd.,Supplier,Ontario
Brian Ballantyne Specifications,Design,Ontario
Brilun Construction Ltd,Manufacturer,Atlantic
Brunel Commercial Interiors Inc.,Manufacturer,Southern Alberta
Building Arts Architects Inc.,Design,Ontario
Building Science + Architecture Ltd.,Design,Southern Alberta
Burtons Fine Furnishing,Manufacturer,Ontario
BWP Millwork,Manufacturer,British Columbia
Cabinet Expressions Ltd.,Manufacturer,Southern Alberta
Cabinet Solutions Inc.,Manufacturer,Ontario
Caesarstone Canada,Supplier,Atlantic
Caesarstone Canada,Supplier,British Columbia
Calgary Fasteners & Tools Ltd.,Supplier,Southern Alberta
Cambria Canada,Supplier,Ontario
Campbell Construction Ltd.,Manufacturer,British Columbia
Canadian hardwood Plywood and Veneer Association,Allied,Ontario
Canadian Woodworking Machinery Distributors Association (CWMDA),Allied,Ontario
Candu Millwork Inc.,Manufacturer,Ontario
Canmore Woodcrafters Ltd.,Manufacturer,Southern Alberta
Cascade Countertops,Supplier,Northern Alberta
CCW Architectural Millwork Casework Inc.,Manufacturer,Ontario
Cégep du Vieux Montréal,Allied,Quebec
Chad Stretch,Life,Atlantic
CIF Lab Solutions LP,Manufacturer,Ontario
Cimaise,Design,Quebec
Classic Woodwork Ltd.,Manufacturer,Atlantic
CNC Automation,Supplier,Atlantic
CNC Automation,Supplier,Quebec
CNC Automation,Supplier,Ontario
Coastal Woodworkers Ltd.,Manufacturer,Atlantic
Coex Architecture,Design,Quebec
Coletech Quality Woodworking Incorporated,Manufacturer,Ontario
Colonial Manufacturing Ltd.,Supplier,Atlantic
Colwin Design Ltd.,Manufacturer,British Columbia
Commonwealth Plywood Distribution,Supplier,Quebec
Comptoirs Prémoulés G. Pomerleau,Manufacturer,Quebec
Conception Céline Bouchart,Design,Quebec
Conestoga College,Allied,Ontario
Convoy Custom Interiors Inc.,Manufacturer,Ontario
COPPER8,Design,Southern Alberta
Cowichan Woodwork Ltd.,Manufacturer,British Columbia
Craig Clark,Life,Ontario
Cranbrook Interior Woodwork Ltd.,Manufacturer,British Columbia
CSV Consultants Inc.,Design,Ontario
Cuisines GBM,Manufacturer,Quebec
Current Millwork and Cabinetry,Manufacturer,British Columbia
Custom Millwork Atlantic Inc,Manufacturer,Atlantic
CWC Architectural Millwork (2007) Inc.,Manufacturer,British Columbia
Cyprus Construction,Installer,Saskatchewan
Dama Construction,Installer,Quebec
Dan Maslany,Life,Saskatchewan
Danzer Canada Inc.,Supplier,Ontario
Darrell Stokes,Life,Southern Alberta
DCL Woodworking Ltd.,Manufacturer,Ontario
De Vries Fine Woodworking Inc.,Manufacturer,British Columbia
Decca Design Inc.,Design,Southern Alberta
Deerwood Millwork,Manufacturer,Ontario
Delta Laminaction,Supplier,Quebec
Design 360 Inc.,Design,Atlantic
Designer's Choice Cabinetry and Millwork Inc.,Manufacturer,Atlantic
Dessins d’Atelier,Design,Quebec
DGS Consulting Services,Design,Ontario
DIALOG (formerly COHOS EVAMY),Design,Southern Alberta
Diamond Regency,Manufacturer,Quebec
Digital Fabrication (9185313 Canada Inc.),Manufacturer,Ontario
DM Millwork Ltd.,Manufacturer,Ontario
DMG Architecture,Design,Quebec
Door Painters Ltd.,Supplier,British Columbia
Dormond Industries Ltd.,Supplier,Manitoba
Doucet Machinerie,Supplier,Quebec
Drew Parks,Life,Atlantic
E. Roko Distributors Ltd.,Supplier,British Columbia
East Coast Specialty Hardwoods,Supplier,Atlantic
Ébénisterie 3D,Manufacturer,Quebec
Ébénisterie Chambois,Manufacturer,Quebec
Ebenisterie Foxwoods Millwork Inc.,Manufacturer,Atlantic
Ébénisterie Hi-Teck,Manufacturer,Quebec
Ébénisterie M4U,Manufacturer,Quebec
Ébénisterie R.Daigle & Associé,Manufacturer,Quebec
Ébénisterie Reflet,Manufacturer,Quebec
Ébénisterie Renova,Manufacturer,Quebec
Ébénisterie St-Patrick,Manufacturer,Quebec
Ebony Architectural Woodwork Ltd.,Manufacturer,British Columbia
École Nationale du Meuble et de l’Ébénisterie,Allied,Quebec
Edgewise Interior Design,Design,Northern Alberta
Edith Fillion,Design,Quebec
Einbau Ltd.,Installer,Ontario
Ell-Rod Holdings Inc.,Manufacturer,Ontario
Emily Creek Woodworking Inc.,Manufacturer,Ontario
Éric Allard,Life,Quebec
Eric Wolf,Life,British Columbia
Ernst Salzgeber,Life,Southern Alberta
Evergreen Architectural Woodworking & Design Inc.,Manufacturer,Ontario
EVOQ Architectures,Design,Quebec
Executive Millwork Inc.,Manufacturer,Southern Alberta
F.C. Machinery Ltd.,Supplier,Manitoba
F.C. Woodworks Inc.,Manufacturer,Manitoba
Fabri-Khan & Alex,Manufacturer,Quebec
Fabriq Architecture,Design,Quebec
FBM Architecture,Design,Atlantic
Feature Millwork Inc.,Manufacturer,British Columbia
Figurr Collectif,Design,Quebec
Finelines Granite & Quartz Ltd.,Supplier,Northern Alberta
First Choice Millwork,Manufacturer,Southern Alberta
Floform Countertops,Supplier,British Columbia
FloForm Countertops,Supplier,Manitoba
FloForm Countertops,Supplier,Saskatchewan
FloForm Countertops,Supplier,Southern Alberta
Floform Industries Ltd.,Supplier,Northern Alberta
Formations Inc,Supplier,Northern Alberta
Formations Inc.,Supplier,British Columbia
Formations Inc.,Supplier,Manitoba
Formations Inc.,Supplier,Saskatchewan
Formations Inc.,Supplier,Southern Alberta
Formica Canada,Supplier,Quebec
Formica Canada Inc.,Supplier,British Columbia
Formica Canada Inc.,Supplier,Ontario
Forte Fixtures & Millwork Inc.,Manufacturer,Ontario
Frank Beck,Life,British Columbia
Frank Sansalone,Life,Ontario
Frank VanDonzel,Life,Southern Alberta
Frank Wedman,Life,Northern Alberta
Frank Zack Registered Specification Writer Ltd.,Design,Southern Alberta
Fraser Valley Industries Ltd.,Manufacturer,British Columbia
Front First Designs Ltd.,Manufacturer,British Columbia
FS Millworks Ltd.,Supplier,British Columbia
G & P Millwork Ltd.,Manufacturer,Ontario
G & S Woodworking,Manufacturer,Ontario
G.M. Diemert Architect Inc.,Design,Ontario
Garry Tillotson,Life,Ontario
GEC Architecture,Design,Southern Alberta
Georgian College,Allied,Ontario
Gérard Dion Architecte,Design,Quebec
Gestion IBlain inc,Design,Quebec
Gibbs Gage Architects,Design,Southern Alberta
Gipman Kitchens and Cabinetry,Manufacturer,British Columbia
GL Industries Ltd.,Manufacturer,Ontario
Glen Hodgins,Life,Southern Alberta
Goodfellow Inc.,Supplier,Atlantic
Gord Leggatt,Life,Southern Alberta
GRASS Canada Inc.,Supplier,British Columbia
GRASS Canada Inc.,Supplier,Ontario
Green Valley Woodworking Ltd.,Manufacturer,Ontario
Greg Warnock,Life,Southern Alberta
Ground Effects Ltd.,Manufacturer,Ontario
Groupe A - Annexe U,Design,Quebec
Groupe Beaubois,Manufacturer,Quebec
Guide Woodworking Inc.,Manufacturer,Ontario
Hafele Canada Inc.,Supplier,Ontario
Hans Cullman,Life,Ontario
Hanson + Jung Architects Inc.,Design,Ontario
Hardwood Cabinetry and Millwork Inc.,Manufacturer,Ontario
Hardwoods Specialty Products,Supplier,Atlantic
Hardwoods Specialty Products,Supplier,British Columbia
Hardwoods Specialty Products,Supplier,Manitoba
Hardwoods Specialty Products,Supplier,Northern Alberta
Hardwoods Specialty Products,Supplier,Ontario
Hardwoods Specialty Products,Supplier,Saskatchewan
Hardwoods Specialty Products,Supplier,Southern Alberta
Hardwoods Specialty Products LP,Supplier,Quebec
Harm Hazeu,Life,Manitoba
Harris Corporate Interiors Inc.,Manufacturer,Ontario
Heart Lake Insurance Brokers Inc.,Supplier,Ontario
Héloïse Thibodeau Architecte Inc.,Design,Quebec
Héritage Ébénisterie Architecturale,Manufacturer,Quebec
Hess Millwork,Manufacturer,Ontario
Hesswell Millwork,Manufacturer,British Columbia
Hettich Canada L.P.,Supplier,Manitoba
Hettich Canada L.P.,Supplier,Southern Alberta
Hettich Canada L.P.,Supplier,Northern Alberta
Hettich Canada L.P.,Supplier,Saskatchewan
Hettich Canada L.P.,Supplier,British Columbia
Hettich Canada LP,Supplier,Atlantic
Hettich Canada LP,Supplier,Ontario
Hettich Canada LP,Supplier,Quebec
Hobin Architecture Incorporated,Design,Ontario
HOK Architects Corporation,Design,Ontario
Holytek Canada,Supplier,Quebec
Holzmeister Millwork,Manufacturer,Saskatchewan
Homag,Supplier,Southern Alberta
Homesteaders Woodshop Inc,Manufacturer,Northern Alberta
Hossack & Associates Architects,Design,Ontario
Hubert Graup,Life,Northern Alberta
Hughes Interior Millwork Ltd,Manufacturer,Northern Alberta
Humber Institute of Technology & Advanced Learning,Allied,Ontario
Husky Plywood,Supplier,Quebec
Hy-Grade Millwork,Manufacturer,Saskatchewan
IMA-Schelling Canada,Supplier,Ontario
Innergy,Supplier,Manitoba
Inovem,Allied,Quebec
Inter-All Ltd.,Manufacturer,Ontario
Interior Designers of Canada (IDC),Allied,Ontario
Interior Wood Ltd.,Manufacturer,Southern Alberta
Ionian Woodwork Ltd,Manufacturer,Northern Alberta
Island Architectural Millwork Ltd.,Manufacturer,British Columbia
Island Precision Manufacturing Ltd.,Manufacturer,British Columbia
ISPA Woodworking Limited,Manufacturer,Ontario
J.K. Counter-Tops Ltd.,Supplier,Ontario
Jack Russell,Life,British Columbia
Jean M. Savignac General Woodwork Ltd,Manufacturer,Ontario
Jim Taylor,Life,British Columbia
Jodoin Lamarre Pratte architectes (JLP),Design,Quebec
John  Boei,Life,Southern Alberta
John Magnusson,Life,Southern Alberta
Jonel Fixture & Supply Inc.,Manufacturer,Ontario
JSV Architectural Veneering & Millwork Inc.,Manufacturer,British Columbia
Kasian Architecture Interior Design & Planning Ltd.,Design,Southern Alberta
Katilac Coatings Inc.,Supplier,Ontario
Kearns Mancini Architects,Design,Ontario
Ken Jackson,Life,Ontario
Keypoint Millwork Ltd.,Manufacturer,Ontario
Kitply Industries,Supplier,British Columbia
Kleinfeldt Mychajlowycz Architects,Design,Ontario
Krista Hermanson Design & Construction,Design,Southern Alberta
KTS Millwork Plus Ltd.,Manufacturer,British Columbia
Kumlin Sullivan Architecture Studio Ltd.,Design,Southern Alberta
Kwantlen Polytechnic University,Allied,British Columbia
Laborinc.ca,Installer,Ontario
Ladson Creative Millworks,Manufacturer,Ontario
Lakeview Millwork Ltd,Manufacturer,Ontario
Lancashire Distribution,Supplier,Saskatchewan
Lancashire Distribution,Supplier,Southern Alberta
"Lapointe, Magne et associés",Design,Quebec
Leclerc Architectes,Design,Quebec
Leedwood Ltd,Manufacturer,Ontario
Lemay,Design,Quebec
Lemay Côté Architectes,Design,Quebec
LemayMichaud,Design,Quebec
les boisés La Fleur Inc.,Supplier,Quebec
Lethbridge Community College / Interior Design,Allied,Southern Alberta
Linn Millwork Company Inc,Manufacturer,Saskatchewan
LK Custom Design Corp,Manufacturer,Ontario
Lobello Manufacturing Ltd.,Manufacturer,Southern Alberta
LTR Industries Ltd.,Manufacturer,Ontario
M + K Contracting,Manufacturer,Ontario
Mac Interior Design Inc.,Design,Atlantic
Madsen's Custom Cabinets (1983) Ltd.,Manufacturer,Northern Alberta
Magnum Millwork Inc.,Manufacturer,Ontario
Mallet Millwork Inc.,Manufacturer,Ontario
Marcor Woodwork Ltd.,Manufacturer,Southern Alberta
Martin Boutet,Life,Quebec
Martin Simmons Sweers Architects,Design,Ontario
McFaddens Hardwood and Hardware Inc.,Supplier,Atlantic
McKillican Canadian Inc.,Supplier,British Columbia
McKillican Canadian Inc.,Supplier,Manitoba
McKillican Canadian Inc.,Supplier,Northern Alberta
McKillican Canadian Inc.,Supplier,Saskatchewan
McKillican Canadian Inc.,Supplier,Southern Alberta
McMurray Interiors,Manufacturer,Northern Alberta
"Mélanie Legault, TP",Design,Quebec
Menkès Shooner Dagenais Létourneux Architectes,Design,Quebec
Menuiserie Denis Beaudoin,Installer,Quebec
Menuiseries Mont-Royal,Manufacturer,Quebec
Microvellum,Supplier,Ontario
Midwest Millwork,Manufacturer,Northern Alberta
Mike's Custom Woodworks,Manufacturer,Atlantic
Mill Supply,Supplier,Atlantic
Mill-Right Woodworking Inc.,Manufacturer,Atlantic
Millcraft Woodworks Ltd,Manufacturer,Northern Alberta
Millennium Millwork Inc.,Manufacturer,Ontario
Millsaw Architectural Inc.,Manufacturer,Ontario
Milltech Millwork Ltd.,Manufacturer,Northern Alberta
Millwork Innovations III (MI3),Manufacturer,Southern Alberta
Millworks Custom Manufacturing 2001 Inc.,Manufacturer,Ontario
MMP Architects,Design,Manitoba
Mode Licensed Interior Design Studio,Design,Southern Alberta
Modern Countertop,Manufacturer,Atlantic
Modulfab,Manufacturer,Quebec
Moffet and Duncan Architects Inc.,Design,Ontario
Mosaic Millwork Ltd.,Manufacturer,British Columbia
Mount Royal University / Interior Design,Allied,Southern Alberta
Mountjoy Millwork,Manufacturer,Ontario
MU Architecture,Design,Quebec
Myron Jonzon,Life,Northern Alberta
Nancy Lamothe,Design,Quebec
National Carpentry and Installations Ltd.,Installer,Manitoba
Newcombe Design Associates Inc.,Design,Ontario
NFOE - Montréal,Design,Quebec
NFOE - Québec,Design,Quebec
NFP Canada Inc. (Insurance Broker),Allied,Northern Alberta
Nick's Woodcraft Industries Ltd.,Manufacturer,Southern Alberta
Nikolai Manufacturing Inc.,Manufacturer,British Columbia
North American Rapid Supplies Inc. (NARS),Supplier,Ontario
North Forty Fine Furniture (2015) Ltd.,Manufacturer,Saskatchewan
Northern Alberta Institute of Technology - Wood Technologies,Allied,Northern Alberta
Northwest Custom Cabinet Inc,Manufacturer,Ontario
Nova Wood Products,Manufacturer,Atlantic
NSCC Pictou Campus,Allied,Atlantic
Nystil Custom Cabinets Ltd.,Manufacturer,Southern Alberta
Olon Industries,Supplier,Quebec
Outline Millwork,Manufacturer,British Columbia
"P.J. White Hardwoods, A division of Richelieu Hardware Canada Ltd.",Supplier,British Columbia
PACE Consulting Employee Benefits and Pensions Ltd.,Supplier,Ontario
Pacific Solutions Contracting Ltd.,Manufacturer,British Columbia
Park Place Manufacturing Limited,Manufacturer,Southern Alberta
Pat Theriault,Life,Atlantic
Patriarche - Montréal,Design,Quebec
Patriarche - Québec,Design,Quebec
Paule Boutin Architecte,Design,Quebec
PC Custom Woodworking & Design,Manufacturer,Ontario
Peregrine Millwork Ltd.,Manufacturer,British Columbia
Peter Ballinger,Life,Southern Alberta
Peter Hausermann,Life,Southern Alberta
Phantastek,Design,Quebec
Planidesign,Design,Quebec
Planit Canada Inc.,Supplier,Ontario
Platinum Millwork Inc.,Manufacturer,British Columbia
Polwood Woodcraft,Manufacturer,Southern Alberta
Polybois,Manufacturer,Quebec
Portes Baillargeon (les) - Division de la corporation Internationale Masonite,Supplier,Quebec
Portes Lambton,Supplier,Quebec
"Precision Millwork, a Division of Warman Cabinets",Manufacturer,Saskatchewan
Precision Veneer Products Ltd.,Supplier,Ontario
Presentex Canada Inc.,Manufacturer,Ontario
Prestige Railing & Stairs Ltd.,Manufacturer,Southern Alberta
Pro Spec Woodwork,Manufacturer,Northern Alberta
Pro-Ply Custom Plywood Inc.,Supplier,Ontario
Procase,Manufacturer,Atlantic
Progressive Cabinets and Millwork Limited,Manufacturer,Atlantic
Provencher Roy Architectes,Design,Quebec
Provincial Store Fixtures Ltd.,Manufacturer,Ontario
Provincial Woodworkers Ltd.,Manufacturer,Atlantic
Quality Design Inc.,Manufacturer,Manitoba
R.L.Cushing Millwork Company Ltd.,Manufacturer,Saskatchewan
Rago Millwork & Supplies Co. Ltd.,Manufacturer,Northern Alberta
Rainbow Contractors Ltd.,Manufacturer,Southern Alberta
Ralph Lohmeier,Life,Northern Alberta
Ranco Manufacturing Inc.,Manufacturer,Saskatchewan
Raymond Architectural inc,Supplier,Quebec
RBK Millwork Ltd.,Manufacturer,Northern Alberta
RCM Architectural,Manufacturer,Quebec
Realisation Leblond Inc.,Design,Quebec
Réalisations Newtech - Newtech Installation,Installer,Quebec
Red River College - Cabinet Making Apprenticeship,Allied,Manitoba
Regency Innovations Inc.,Manufacturer,Northern Alberta
Reimer Hardwoods Ltd.,Supplier,British Columbia
Renofield Inc.,Allied,Ontario
RGA Woodworking Ltd.,Manufacturer,Ontario
Ric Ptak Productivity Coaching,Allied,Atlantic
Richelieu Hardware,Supplier,Atlantic
Richelieu Hardware,Supplier,British Columbia
Richelieu Hardware,Supplier,Manitoba
Richelieu Hardware,Supplier,Northern Alberta
Richelieu Hardware,Supplier,Ontario
Richelieu Hardware,Supplier,Southern Alberta
Richelieu Hardware,Supplier,Saskatchewan
Rick Balbi Architects Ltd.,Design,Southern Alberta
Riverside Millwork Group Inc.,Manufacturer,Ontario
"RJDA Architectes Odette Roy, Isabelle Jacques et Darisse",Design,Quebec
Robar Countertops,Supplier,Atlantic
Robert Bury & Co,Supplier,Atlantic
Robert Bury & Company,Supplier,Manitoba
Rockliff Pierzchajlo Kroman Architects Ltd.,Design,Northern Alberta
Rockside Builders Ltd,Manufacturer,Saskatchewan
Rodney Enterprises Ltd.,Manufacturer,Atlantic
Rowntree Custom Millwork,Manufacturer,Ontario
RSVP Design,Design,Northern Alberta
Rudy Hahn,Life,Northern Alberta
Ryson Interior Construction Inc.,Manufacturer,Atlantic
S.W.L. Installations Inc,Installer,Quebec
S2 Architecture,Design,Southern Alberta
SAIT Polytechnic / Cabinetmaking,Allied,Southern Alberta
Salzburg Interiors & Furniture Ltd.,Manufacturer,Ontario
Sandha Woodworks Service Ltd,Manufacturer,Ontario
Schneider's Millwork,Manufacturer,Saskatchewan
Schramm's Woodcraft Ltd.,Manufacturer,Northern Alberta
SCL Millwork & Cabinets Inc.,Manufacturer,Atlantic
SCM Group Canada,Supplier,British Columbia
SCM Group Canada Cooper & Horton,Supplier,Ontario
ScoDesign Distribution,Supplier,Quebec
Scodesign Distribution Inc,Supplier,Atlantic
Seagull Enterprises Ltd.,Manufacturer,British Columbia
Second Generation Furnishings Inc.,Manufacturer,Ontario
Seradex Web Services,Supplier,Ontario
Sharana Millwork Designs Ltd.,Manufacturer,British Columbia
Sheridan College,Allied,Ontario
Smith Vigeant Architectes,Design,Quebec
Space Studio,Design,Northern Alberta
Stantec Architecture,Design,Southern Alberta
START Architecture,Design,Northern Alberta
Steel City Millwork Inc.,Manufacturer,Ontario
Stendel + Reich Architecture,Design,Quebec
Stevens & Associates Millwork Ltd.,Manufacturer,Northern Alberta
STGM Architecture,Design,Quebec
Stirling Woodworks Ltd.,Manufacturer,British Columbia
Storemark (2008) Inc.,Manufacturer,Atlantic
Strasman Architects Inc.,Design,Ontario
Sugatsune Canada,Supplier,Ontario
Svend Nielsen Ltd.,Manufacturer,Ontario
Swiftsure Milling & Mouldings Ltd,Supplier,British Columbia
Sydney Millwork,Manufacturer,Atlantic
Taurus Craco Machinery Inc.,Supplier,Ontario
Teamart Millwork Co Ltd.,Manufacturer,British Columbia
Ted Handy and Associates Inc.,Design,Ontario
Tom Newton Specifications Inc,Design,Southern Alberta
Tony Boyce,Life,Ontario
Top 40 Woodworks Ltd.,Manufacturer,British Columbia
Top Millwork Interiors Inc.,Manufacturer,Ontario
Towne Millwork Ltd.,Manufacturer,British Columbia
Traditional Door Design & Millwork Ltd.,Manufacturer,Ontario
Trend Millwork,Manufacturer,Ontario
Trestle Millwork Ltd,Manufacturer,British Columbia
UBC Centre for Advanced Wood Processing,Allied,British Columbia
Ultimate Tools,Supplier,British Columbia
Uniboard Canada Inc.,Supplier,Ontario
Unique Woodworks Inc.,Manufacturer,Atlantic
University of the Fraser Valley - Carpentry Apprenticeship,Allied,British Columbia
Upper Canada Forest Products,Supplier,British Columbia
Upper Canada Forest Products,Supplier,Northern Alberta
Upper Canada Forest Products,Supplier,Ontario
Upper Canada Forest Products,Supplier,Southern Alberta
Vantage Woodwork Inc.,Manufacturer,Manitoba
Vince Parolin,Life,Ontario
Vizüsolution,Supplier,Quebec
Walls Alive (Edmonton) Ltd.,Supplier,Northern Alberta
Wallworks Acoustic Architectural Products Inc,Supplier,Southern Alberta
WalterFedy,Design,Ontario
Wanes Custom Woodworks Inc.,Manufacturer,British Columbia
ward99 Architects Inc.,Design,Ontario
Wayne Niddrie,Life,Southern Alberta
Weinig Holz Her Canada,Supplier,Quebec
West Isle Industries Ltd.,Manufacturer,British Columbia
Western Marble & Tile Ltd.,Supplier,Manitoba
Western Millwork Ltd.,Manufacturer,Manitoba
White-Wood Distribution Ltd.,Supplier,Manitoba
Wildwood Cabinets Ltd.,Manufacturer,Atlantic
Willis Supply Company Ltd.,Supplier,Ontario
Willsens Architectural Millwork Ltd.,Manufacturer,Ontario
Wilsonart Canada,Supplier,Ontario
Winwood Millwork Inc.,Manufacturer,Manitoba
Wolski Design Group Ltd.,Design,Northern Alberta
Wood Design Custom Millwork,Manufacturer,Ontario
Wood Industry Magazine,Allied,Ontario
Wood Manufacturing Council,Allied,Ontario
Woodcraft Kitchen Cabinets,Manufacturer,Southern Alberta
Woodlogix Interior Inc.,Manufacturer,Ontario
Woodrose Woodworking Inc.,Manufacturer,British Columbia
WoodTech Millwork & Display Ltd.,Manufacturer,British Columbia
Woodwork Management,Allied,Atlantic
Woodworking Magazine,Allied,Ontario
Zarin Architectural Millwork,Manufacturer,British Columbia
ZGG Ltd,Installer,Ontario
