name,category(s),phone,address,rating,reviews
Brampton Smiles,['Dentists'],905-793-6263,"50 Sunny Meadow Blvd, Brampton, ON",0.0,0
Dentistry on Main,"['Dentists', 'Cosmetic Dentistry']",905-454-5777,"389 Main Street North, Brampton, ON",0.0,0
iSmile Dental Centre (North),['Dentists'],905-846-9655,"23 Conservation Drive #4, Brampton, ON",0.0,0
Valleylands Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-451-1222,"8990 Chinguacousy Road, Brampton, ON",0.0,0
Sunny Ridge Dental Care,"['Dentists', 'Cosmetic Dentistry', 'Dentures']",905-840-1818,"105 Dufay Road, Brampton, ON",0.0,0
Meadow Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-495-5400,*,0.0,0
Heart Lake Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-495-7775,"180 Sandalwood Parkway East, Brampton, ON",0.0,0
Brampton Corners Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-451-1665,"66 Quarry Edge Drive, Brampton, ON",0.0,0
SmileMakers Dental Care,['Dentists'],905-457-0778,"36 Vodden St E, Brampton, ON",0.0,0
Your Dentist - Dr. Punit Biala & Associates,['Dentists'],905-890-9898,"223 Ceremonial Dr, Mississauga, ON",0.0,0
Malton Family Dental,['Dentists'],647-370-1775,"2980 Drew Rd #128, Mississauga, ON",0.0,0
Smiles4U Dental,['Dentists'],905-455-3368,"80 Pertosa Dr, Brampton, ON",0.0,0
Smile4U Dental,['Dentists'],905-455-3368,"80 Pertosa Drive,Unit #8, Brampton, ON",0.0,0
Smileton Dental,['Dentists'],905-459-8898,"860 North Park Dr #8, Brampton, ON",0.0,0
Shifa Dental Care / Dr. Sadia Bakhtiar,['Dentists'],905-458-7833,"945 Peter Robertson Blvd Suite 5, Brampton, ON",0.0,0
Balogh Dental,['Dentists'],289-801-8185,*,0.0,0
Dr Theresa Allum,['Dentists'],905-453-6900,"102-118 Queen St W, Brampton, ON",0.0,0
WORLD DRIVE DENTISTRY,['Dentists'],905-696-7500,"70 WORLD DRIVE Unit 2, Mississauga, ON",0.0,0
Dr Daniela Rossi,['Dentists'],905-791-2878,"40 Peel Centre Dr, Brampton, ON",0.0,0
Faheim Madgi Dr,['Dentists'],905-450-3995,*,0.0,0
Dr Michelle Omura,['Dentists'],905-846-9655,"4-23 Conservation Dr, Brampton, ON",0.0,0
Torbram Dental,"['Dentists', 'Cosmetic Dentistry']",905-792-7163,"8550 Torbram Road, Brampton, ON",0.0,0
Still Waters Dental Group,['Dentists'],905-702-9744,"374 Guelph Street, Georgetown, ON",0.0,0
Valley Creek Dental,['Dentists'],905-913-1339,"1975 Cottrelle Boulevard. Unit 1, Brampton, ON",0.0,0
Oster Gerd Dr,['Dentists'],905-457-8113,"195 County Court Blvd, Brampton, ON",0.0,0
Canadian Dental Supplies Inc,['Dentists'],866-392-3368,"210 Brunel Road, Mississauga, ON",0.0,0
Dr A E Balogh,['Dentists'],905-457-2222,"10635 Creditview Road, Brampton, ON",0.0,0
Dental Square,['Dentists'],905-915-8988,"8920 Highway 50, Brampton, ON",0.0,0
SAJE Vital Signs,['Dentists'],800-461-7716,"6355 Kennedy Road, Units 2 & 3, Mississauga, ON",0.0,0
Springdale Family Dental,['Dentists'],905-793-8800,"55 Mountainash Rd, Brampton, ON",0.0,0
Peel Village Dental,['Dentists'],905-453-6661,*,0.0,0
Dr Chandandeep Kaur,['Dentists'],905-497-9213,*,0.0,0
Dentistry on Mississauga,['Dentists'],905-872-1100,"65 Montpelier St., Brampton, ON",0.0,0
"Wojnardwicz, G DDS",['Dentists'],905-450-3383,"1 Steeles Ave E #15, Brampton, ON",0.0,0
Wexford Square Dental Office,['Dentists'],905-840-0013,"1 Wexford Road, Brampton, ON",0.0,0
"Waters, K W DDS",['Dentists'],905-456-1252,"5 Mcmurchy Ave N #2, Brampton, ON",0.0,0
"Ung, Huyen DDS",['Dentists'],905-459-8485,"118 Queen St W #104, Brampton, ON",0.0,0
"Turna, K Pete DDS",['Dentists'],905-451-9561,"111 Queen St W #201, Brampton, ON",0.0,0
"Tuck, Stan DDS",['Dentists'],905-457-0169,"60 Queen St E #3, Brampton, ON",0.0,0
"Sylvester, David E DDS",['Dentists'],905-454-3433,"1 Bartley Bull Pky #16, Brampton, ON",0.0,0
Steelworkers Dental Ofice,['Dentists'],905-238-1414,"1158 Aerowood Dr, Mississauga, ON",0.0,0
Springdale Dental Wellness Ctr,['Dentists'],905-792-1717,"945 Peter Robertson Blvd, Brampton, ON",0.0,0
Springdale Dental Centre,['Dentists'],905-458-1212,*,0.0,0
"Sosath, Tamara DDS",['Dentists'],905-454-4703,"8 Nelson St W #200, Brampton, ON",0.0,0
"Snow, Stephen DDS",['Dentists'],905-451-5971,"305 Charolais Blvd, Brampton, ON",0.0,0
"Singh, S Sandhu DDS",['Dentists'],905-673-6377,"3530 Derry Rd E #203, Mississauga, ON",0.0,0
"Silverberg, L J DDS",['Dentists'],905-451-8211,"26 Rambler Dr, Brampton, ON",0.0,0
Shearer David Dr,"['Dentists', 'Orthodontists']",905-840-9711,"380 Bovaird Drive East, Brampton, ON",0.0,0
Dr Sehgal Dentistry Prof Corp,['Dentists'],905-792-2306,"40 Finchgate Blvd, Brampton, ON",0.0,0
"Sax, Lawrence DDS",['Dentists'],905-677-7700,"7330 Goreway Dr, Mississauga, ON",0.0,0
Sandalwood Dental Office,['Dentists'],905-568-4900,"50 Bristol Rd E #5, Mississauga, ON",0.0,0
"Sagath, Julia DDS",['Dentists'],905-791-0866,"18 Kensington Rd #404, Brampton, ON",0.0,0
"Rustomji, Arvinda DDS",['Dentists'],905-455-2023,"545 Steeles Ave W #6, Brampton, ON",0.0,0
"Ritchie, Scott DDS",['Dentists'],905-846-9655,"23 Conservation Dr #4, Brampton, ON",0.0,0
Queenstate Dental Care,['Dentists'],905-450-3283,"143 Queen St E #201, Brampton, ON",0.0,0
"Pelletier, Glen DDS",['Dentists'],905-890-0820,"30 Eglinton Ave W #11, Mississauga, ON",0.0,0
New Breath,['Dentists'],905-453-8081,"145 Queen St E #201, Brampton, ON",0.0,0
"Nagai, Kazumi DDS",['Dentists'],905-672-1662,"3427 Derry Rd E #200, Mississauga, ON",0.0,0
"Murrell, F DDS",['Dentists'],905-846-7846,"1D Conestoga Dr #300, Brampton, ON",0.0,0
"Morris, Christopher DDS",['Dentists'],905-459-9382,"55 Kennedy Rd N, Brampton, ON",0.0,0
"Mittelmann, Larry DDS",['Dentists'],905-459-2511,"99 Main St N, Brampton, ON",0.0,0
"Mitchell, Gary R DDS",['Dentists'],905-677-9424,"7632 Netherwood Rd, Mississauga, ON",0.0,0
Mississauga Marketplace Dental,['Dentists'],905-502-9070,"4559 Hurontario St #5A, Mississauga, ON",0.0,0
"Millar, Simon DDS",['Dentists'],905-793-5900,"9780 Bramalea Rd #201, Brampton, ON",0.0,0
Mc Laughlin Village Dental Ofc,['Dentists'],905-457-5752,"499 Ray Lawson Blvd, Brampton, ON",0.0,0
"Mc Cracken, Douglas DDS",['Dentists'],905-451-1527,"178 John St #206, Brampton, ON",0.0,0
Matthew Weekes & Assoc,['Dentists'],905-458-1055,"9780 Bramalea Rd #404, Brampton, ON",0.0,0
"Martino, Pat DDS",['Dentists'],905-457-8661,"239 Queen St E #9, Brampton, ON",0.0,0
Sandalwood Dental Clinic,['Dentists'],905-846-8810,"205 Van Kirk Drive, Unit 7, Brampton, ON",0.0,0
"Maltz, Jack DDS",['Dentists'],905-791-5500,"40 Peel Centre Dr #209, Brampton, ON",0.0,0
Main Dental Office,['Dentists'],905-456-9200,"320 Main St N #6, Brampton, ON",0.0,0
"Magli, L A DDS",['Dentists'],905-712-4777,"30 Eglinton Ave W #745, Mississauga, ON",0.0,0
Mac Kay Dental,['Dentists'],905-791-4441,"930 North Park Dr #3, Brampton, ON",0.0,0
M A Ceplar Dental Office,['Dentists'],905-792-8644,"40 Finchgate Blvd #212, Brampton, ON",0.0,0
"Lu, Yien DDS",['Dentists'],905-456-6483,"110 Brickyard Way #9, Brampton, ON",0.0,0
Lmc Dental Ctr,['Dentists'],905-796-8838,"10 Kennedy Rd S, Brampton, ON",0.0,0
Dr. Jeff Levman,['Dentists'],647-696-5712,"4665 Central Parkway East Suite 8, Mississauga, ON",0.0,0
"Levin, B DDS",['Dentists'],905-459-1742,"7700 Hurontario St #308, Brampton, ON",0.0,0
"Lau, David DDS",['Dentists'],905-457-8113,"195 County Court Blvd #302, Brampton, ON",0.0,0
"Lamwatt, Stanwick DDS",['Dentists'],905-793-2208,"18 Kensington Rd #502, Brampton, ON",0.0,0
"Kazman, Steven DDS",['Dentists'],905-846-4004,"230 Sandalwood Pky E #201, Brampton, ON",0.0,0
"Kay, Kenneth DDS",['Dentists'],905-791-4484,"40 Peel Centre Dr #214, Brampton, ON",0.0,0
"Karp, Wayne S DDS",['Dentists'],905-454-8740,"1 Nelson St W #200, Brampton, ON",0.0,0
"Jutlah, Brian DDS",['Dentists'],905-501-1295,"223 Ceremonial Dr #1, Mississauga, ON",0.0,0
"Joshi, D DDS",['Dentists'],905-791-7549,"18 Kensington Rd #305, Brampton, ON",0.0,0
"Joseph, Maya DDS",['Dentists'],905-890-7144,"510 Driftcurrent Dr, Mississauga, ON",0.0,0
Fairbloom Joseph Dr,['Dentists'],905-451-8388,"341 Main St N, Brampton, ON",0.0,0
"Janusonis, S DDS",['Dentists'],905-451-9344,"4 Beech St, Brampton, ON",0.0,0
"Jafine, Brian DDS",['Dentists'],905-793-7609,"40 Peel Centre Dr #209, Brampton, ON",0.0,0
Huynh-Hoa Dao & Assoc,['Dentists'],905-452-0700,"239 Queen St E #5, Brampton, ON",0.0,0
Hurontario Dental,['Dentists'],905-712-3600,"25 Watline Ave #300, Mississauga, ON",0.0,0
"Hiscox, R G DDS",['Dentists'],905-456-2850,"118 Queen St W #104, Brampton, ON",0.0,0
"Hirst, Yvonne DDS",['Dentists'],905-453-7577,"499 Main St S #95, Brampton, ON",0.0,0
"Hibberd, Graeme R DDS",['Dentists'],905-458-4114,"40 Peel Centre Dr #109, Brampton, ON",0.0,0
"Hazelton, Robert DDS",['Dentists'],905-791-1648,"40 Peel Centre Dr #209, Brampton, ON",0.0,0
"Hazelton, R D DDS",['Dentists'],905-677-0017,"7205 Goreway Dr #7, Mississauga, ON",0.0,0
"Hang, Kristine M DDS",['Dentists'],905-453-3384,"499 Main St S #30, Brampton, ON",0.0,0
"Haji, Feisel DDS",['Dentists'],905-793-8668,"55 Mountainash Rd #16, Brampton, ON",0.0,0
"Grimaldi, A DDS",['Dentists'],905-457-0778,"36 Vodden St E #105, Brampton, ON",0.0,0
Goreway Dental Ctr,['Dentists'],905-673-7874,"7125 Goreway Dr #206, Mississauga, ON",0.0,0
"Gill, A K DDS",['Dentists'],905-840-3533,"27 Ruth Ave, Brampton, ON",0.0,0
"Gigeris, Chris DDS",['Dentists'],905-507-0080,"5035 Hurontario St #10, Mississauga, ON",0.0,0
"Gandhi, Pramod DDS",['Dentists'],905-874-4140,"20 Red Maple Dr #7, Brampton, ON",0.0,0
"Dr. Neil J. Gajjar, Associates & Specialists",['Dentists'],905-564-2021,"735 Twain Avenue, Mississauga, ON",0.0,0
Dr L Fleming,['Dentists'],905-450-0700,"201 County Court Blvd, Brampton, ON",0.0,0
"Fernando, C R DDS",['Dentists'],905-459-8898,"860 North Park Dr #8, Brampton, ON",0.0,0
"Fava, Joseph DDS",['Dentists'],905-792-7163,"8550 Torbram Rd #5, Brampton, ON",0.0,0
Family Dentistry,['Dentists'],905-791-4000,"40 Peel Centre Dr #209, Brampton, ON",0.0,0
Family Dental Office,['Dentists'],905-453-2440,"111 Queen St W #302, Brampton, ON",0.0,0
Family Dental Care,['Dentists'],905-799-3838,"25 Peel Centre Dr #402, Brampton, ON",0.0,0
"Faith, W J DDS",['Dentists'],905-793-4442,"40 Finchgate Blvd #202, Brampton, ON",0.0,0
"Erman, Robert L DDS",['Dentists'],905-676-1980,"7205 Goreway Dr, Mississauga, ON",0.0,0
Erinwood Dental - Eglinton Location,['Dentists'],905-568-1988,"295 Eglinton Avenue E, Mississauga, ON",0.0,0
"Eckler, Gordon S DDS",['Dentists'],905-791-1618,"40 Peel Centre Dr #209, Brampton, ON",0.0,0
Park Place Junior,['Dentists'],905-866-6657,"107 Queen St E, Brampton, ON",0.0,0
Dixie & Hwy 7 Dental Office,['Dentists'],905-791-2878,"40 Peel Centre Dr #212, Brampton, ON",0.0,0
Dimovski Elizabeth Dr,['Dentists'],905-458-6620,*,0.0,0
"Dhillon, S K DDS",['Dentists'],905-874-8664,"900 Ray Lawson Blvd #4, Brampton, ON",0.0,0
Dexter Dental,['Dentists'],905-677-7133,"7205 Goreway Dr, Mississauga, ON",0.0,0
Derry-Mc Laughlin Family Dntl,['Dentists'],905-670-1600,"7070 Mclaughlin Rd, Mississauga, ON",0.0,0
Dentistry on Derry,['Dentists'],905-821-0322,"4A-6986 Financial Drive, Mississauga, ON",0.0,0
Dentistry In Meadowvale Village,['Dentists'],905-696-0049,"7235 Bellshire Gate, Mississauga, ON",0.0,0
Aaron,['Dentists'],905-890-0101,"4555 Hurontario St, Mississauga, ON",0.0,0
Abah Dental Svc,['Dentists'],905-451-1665,"66 Quarry Edge Dr, Brampton, ON",0.0,0
"Abouzgia, Mustafa DDS",['Dentists'],905-846-6716,"1D Conestoga Dr #100, Brampton, ON",0.0,0
Airport Dental Ctr,['Dentists'],905-678-9991,"7071 Airport Rd #206, Mississauga, ON",0.0,0
"Allum, Theresa DDS",['Dentists'],905-453-6900,"103 Queen St W #100, Brampton, ON",0.0,0
no longer operating,['Dentists'],905-202-0336,"serving area, Brampton, ON",0.0,0
"Ananthan, Neville K DDS",['Dentists'],905-846-5149,"10425 Kennedy Rd #201, Brampton, ON",0.0,0
"Andrews, S DDS",['Dentists'],905-457-2222,"20 Nelson St W #100, Brampton, ON",0.0,0
Anjali Papneja,['Dentists'],905-452-7111,"14 Lisa St, Brampton, ON",0.0,0
Appleday Dental Care,['Dentists'],905-671-1553,"7205 Goreway Dr #B10, Mississauga, ON",0.0,0
Asadi Lewis & Assoc Dentistry,['Dentists'],905-458-7784,"25 Peel Centre Dr #402, Brampton, ON",0.0,0
Avondale Dental,['Dentists'],905-793-7277,"50 Avondale Boulevard, Brampton, ON",0.0,0
B S W Dental Office,['Dentists'],905-451-7313,"499 Main St S #60F, Brampton, ON",0.0,0
"Bai, Paul DDS",['Dentists'],905-792-3096,"40 Finchgate Blvd #204, Brampton, ON",0.0,0
Bartley's Square Dental Office,['Dentists'],905-452-8727,"1 Bartley Bull Pky #1, Brampton, ON",0.0,0
"Bazarin, Lynn DDS",['Dentists'],905-457-4700,"229 Main St S, Brampton, ON",0.0,0
"Bederman, V DDS",['Dentists'],905-677-7185,"7205 Goreway Dr #14B, Mississauga, ON",0.0,0
Besik Stan Dr,['Dentists'],905-846-4424,"5A Conestoga Dr, Brampton, ON",0.0,0
"Bossin, R M DDS",['Dentists'],905-791-1800,"1785 Queen St E, Brampton, ON",0.0,0
"Botbol, Charles DDS",['Dentists'],905-451-8600,"456 Vodden St E #8, Brampton, ON",0.0,0
Bramalea Dentistry,['Dentists'],905-791-1697,"40 Peel Centre Dr #115, Brampton, ON",0.0,0
BramCare Dental Centre,['Dentists'],905-793-8177,*,0.0,0
Bramdale Dental Office,['Dentists'],905-790-2345,*,0.0,0
Brampton North Dental Office,['Dentists'],905-840-1511,"1E Conestoga Dr #300, Brampton, ON",0.0,0
Brampton Smile Ctr,['Dentists'],905-451-4591,"118 Queen St W #104, Brampton, ON",0.0,0
Bramrose Dental Office,['Dentists'],905-450-5800,"295 Queen St E #A, Brampton, ON",0.0,0
Brandon Gate Dental Care,['Dentists'],905-673-6565,"4025 Brandon Gate Dr, Mississauga, ON",0.0,0
"Brown, Ron DDS",['Dentists'],905-451-7537,"118 Queen St W #104, Brampton, ON",0.0,0
Cairean Mgmnt,['Dentists'],905-456-2082,"4 Mclaughlin Rd S #3, Brampton, ON",0.0,0
"Carmichael, R P DDS",['Dentists'],905-450-3919,"4 Beech St, Brampton, ON",0.0,0
"Carr, Richard DDS",['Dentists'],905-454-4010,"499 Main St S, Brampton, ON",0.0,0
"Cenedese, Robert A DDS",['Dentists'],905-858-7867,"1201 Britannia Rd W #14, Mississauga, ON",0.0,0
"Chagger, Bobby DDS",['Dentists'],905-672-2244,"3427 Derry Rd E #201, Mississauga, ON",0.0,0
"Chan, Elizabeth DDS",['Dentists'],905-452-1227,"200 County Court Blvd, Brampton, ON",0.0,0
"Chekay, Brian DDS",['Dentists'],905-791-2421,"45 Bramalea Rd #203, Brampton, ON",0.0,0
"Chen, Chris DDS",['Dentists'],905-840-9676,"1E Conestoga Dr #101, Brampton, ON",0.0,0
Collins & Karolidis,['Dentists'],905-454-8585,"400 Queen St W, Brampton, ON",0.0,0
"Collins, Joanne E DDS",['Dentists'],905-452-7223,"284 Queen St E, Brampton, ON",0.0,0
"Comlekci, Herman DDS",['Dentists'],905-456-0827,"284 Queen St E #206, Brampton, ON",0.0,0
Conestoga Dental Centre,"['Dentists', 'Periodontists']",905-840-0000,*,0.0,0
"Corazza, L DDS",['Dentists'],905-840-8384,"11670 Hurontario, Brampton, ON",0.0,0
"Cornell, David DDS",['Dentists'],905-456-2441,"60 Queen St E #L03, Brampton, ON",0.0,0
"Dai, J DDS",['Dentists'],905-789-7339,"80 Great Lakes Dr, Brampton, ON",0.0,0
"Dan, Peter DDS",['Dentists'],905-792-7645,"140 Great Lakes Dr #127, Brampton, ON",0.0,0
Dr. Emil Svoboda Dental Speaker,['Dentists'],905-866-6657,"110 Queen St E, Brampton, ON",0.0,0
Jarhu And Kumar Dentistry,['Dentists'],905-455-8866,"3-17 Ray Lawson Blvd, Brampton, ON",0.0,0
Teeth First Dental Network,['Dentists'],905-497-5597,"49 Hillcrest Ave, Brampton, ON",0.0,0
Dr. Robert Axelrad Dental Office,['Dentists'],905-791-3867,"121-40 Finchgate Boulevard, Brampton, ON",0.0,0
"Dr. Jeff Levman - Mississauga, ON",['Dentists'],647-697-4258,"4665 Central Parkway East, Mississauga, ON",0.0,0
Smiles On Queen | Dentist Caledon,['Dentists'],905-533-2030,*,0.0,0
Smiles On Queen | Dentist Kleinburg,['Dentists'],905-533-2030,*,0.0,0
Smiles On Queen | Dentist Nobleton,['Dentists'],905-533-2030,*,0.0,0
Centennial Dental Office,['Dentists'],905-457-3606,"227 Vodden St East, Brampton, ON",0.0,0
Skymark Smile Centre,"['Dentists', 'Cosmetic Dentistry']",289-201-2480,"25 Kingsbridge Garden Circle, Unit 10, Mississauga, ON",0.0,0
Skymark Smile Centre,['Dentists'],905-890-1100,"25 Kingsbridge Garden Cir, Mississauga, ON",4.8,6
Shoreham Dental,['Dentists'],905-459-7778,*,0.0,0
Sunny Meadow Dentistry,['Dentists'],905-487-0708,"2280 Bovaird Dr E Unit 3, Brampton, ON",0.0,0
Brampton Family Dental,['Dentists'],905-456-1252,"5 McMurchy Avenue North Unit 2, Brampton, ON",0.0,0
Ranbaj Canada Corporate Services Inc.,['Dentists'],905-860-0156,*,0.0,0
Altima Bramalea Dental Centre,['Dentists'],905-793-2522,"25 Peel Centre Drive, Brampton, ON",0.0,0
Derry Village Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-564-0770,"7070 Saint Barbara Blvd., Mississauga, ON",0.0,0
Lakeridge Dental Office,"['Dentists', 'Orthodontists']",905-451-8600,"456 Vodden St E, Brampton, ON",0.0,0
Bramalea Family & Cosmetic Dentistry,['Dentists'],905-458-4006,"50 Peel Centre Dr, Brampton, ON",0.0,0
Braydon Dental Care,['Dentists'],190-579-99907,"65 Braydon Blvd, Brampton, ON",0.0,0
Dr. Adam Chow DDS Family & Cosmetic Dentistry,['Dentists'],905-451-7537,"203 - 118 Queen Street West, Brampton, ON",0.0,0
Parkview OMS,['Dentists'],905-456-7770,*,0.0,0
R Dentists,"['Dentists', 'Cosmetic Dentistry']",905-567-6757,"6733 Mississauga Road, Mississauga, ON",0.0,0
STUDIOLINE DENTAL,['Dentists'],905-794-5700,"8-8770 The Gore Rd, Brampton, ON",0.0,0
sandalwood smiles dentistry,['Dentists'],905-494-0025,"2945, Sandalwood Pky E, Brampton, ON",0.0,0
Caplash Dental Centre,['Dentists'],905-451-2999,"373 Steeles Ave W, Brampton, ON",0.0,0
Northgate Dental,['Dentists'],905-458-4111,"980 Central Park Dr, Brampton, ON",0.0,0
Park Place Dental Centre,['Dentists'],905-866-6657,"110 Queen St E, Brampton, ON",0.0,0
Dentistry At 8 Nelson,['Dentists'],905-454-4703,"8 Nelson St W, Brampton, ON",0.0,0
DENTISTRY ON DUSK,['Dentists'],905-453-7777,"55 Dusk Drive,, Brampton, ON",0.0,0
Brampton North Dental Office,['Dentists'],905-840-1511,"300-1E Conestoga Dr, Brampton, ON",0.0,0
Bovaird Smiles Dental,['Dentists'],905-792-9922,"Unit 105-2250  Bovaird Drive East, Brampton, ON",0.0,0
Smile Matters Dentistry,['Dentists'],905-230-3200,"40 Gillingham Drive Unit, Brampton, ON",0.0,0
Dr Simrat Dentistry,['Dentists'],905-456-7700,"475 Charolais Blvd  Unit 7, Brampton, ON",0.0,0
Kensington Dental,['Dentists'],905-791-7549,"18 Kensington Rd, Suite 305 Brampton, ON L6T 4S5, Brampton, ON",0.0,0
Salvaggio Dentistry,['Dentists'],289-569-0746,"9055 Airport Road, Brampton, ON",0.0,0
Beech Dentistry,['Dentists'],905-451-9344,"4 Beech St, Brampton, ON",0.0,0
South Brampton Dental Office,['Dentists'],905-453-3384,"60C-499 Main St S, Brampton, ON",0.0,0
Balmoral Dental Office,['Dentists'],905-789-4994,"700 Balmoral Dr, Brampton, ON",0.0,0
Dr M.A. Cepler,['Dentists'],905-792-8644,"114-40 Finchgate Blvd, Brampton, ON",0.0,0
South Georgetown Dental Care,['Dentists'],905-702-0222,"9-333 Mountainview Rd S, Georgetown, ON",5.0,2
Pak Young Dr,['Dentists'],905-456-0827,"284 Queen St E, Brampton, ON",0.0,0
Brampton Dental Group & Associates,['Dentists'],905-453-6900,"102-118 Queen St W, Brampton, ON",0.0,0
Dentistry At Mt. Pleasant Square,['Dentists'],905-843-0789,"1-48 Baycliffe Cres, Brampton, ON",0.0,0
Dr Sonia Sharma Dental Centre,['Dentists'],905-840-3456,"12-3078 Mayfield, Brampton, ON",0.0,0
Kenedy Ruth Dental Centre,['Dentists'],905-846-1595,"6A-27 Ruth Ave, Brampton, ON",0.0,0
The Tooth Corner at Heartlake Plaza,['Dentists'],416-639-9876,"213-164 Sandalwood Pky E, Brampton, ON",0.0,0
Derry Village Dental Care,['Dentists'],905-564-0770,"14-7070 Saint Barbara Blvd, Mississauga, ON",0.0,0
Confident Smiles Implant Denture Solution,['Dentists'],905-453-3393,"284 Queen Street East, Brampton, ON",0.0,0
Glenrose Park Dental,['Dentists'],905-874-4140,*,0.0,0
Dentistry On Queen,['Dentists'],905-799-0310,"2901 Queen St E, Brampton, ON",0.0,0
Fernandes Orthodontics,['Dentists'],905-846-2030,"9-10025 Hurontario St, Brampton, ON",0.0,0
Associated Downtown Dental,['Dentists'],905-457-2222,"20 Nelson St W, Brampton, ON",0.0,0
Royal West Dentistry,['Dentists'],905-456-7700,"315 Royal W Dr, Brampton, ON",0.0,0
Mayfield Dental,['Dentists'],905-840-0225,"3068 Mayfield Rd., Brampton, ON",0.0,0
Kennedy Square Dental,['Dentists'],905-789-7339,"50 Kennedy Rd. S., Brampton, ON",0.0,0
Gentle Care Dental,['Dentists'],905-456-3368,"8601 Mississauga Road, Brampton, ON",0.0,0
Roycrest Dental Center,['Dentists'],905-846-4334,"230 Wanless Drive, Unit 6 Brampton ON, Brampton, ON",0.0,0
Father tobin dentistry,['Dentists'],905 494 1212,"130 father tobin road, Brampton, ON",0.0,0
Earlsbridge Dental,"['Cosmetic Dentistry', 'Dentists', 'Orthodontists']",905-846-6661,"Unit 9, 10 Earlsbridge Blvd, Brampton, ON",5.0,1
Dr. S Sandhu and Associates,"['Cosmetic Dentistry', 'Dentists']",289-201-9222,"2260 Bovaird Drive East, Brampton, ON",0.0,0
Kelleher Lorraine Dr,['Cosmetic Dentistry'],905-457-4700,"229 Main St S, Brampton, ON",0.0,0
905 Dental,['Cosmetic Dentistry'],905-451-8388,"341 Main Street North, Brampton, ON",0.0,0
Rosedale Dental Care - Brampton,['Cosmetic Dentistry'],289-275-6130,"55 Kennedy Rd N,, Brampton, ON",0.0,0
Dr. Gord Farndon Family & Cosmetic Dentistry,['Cosmetic Dentistry'],905-792-2030,"40 Finchgate Boulevard, Brampton, ON",0.0,0
Pretty Healthy Smiles Dental Hygiene Clinic,['Cosmetic Dentistry'],647-961-6993,"16 Denlow Drive, Brampton, ON",0.0,0
Dr. Pawandeep Kahlon & Associate,['Cosmetic Dentistry'],905-789-4994,"700 Balmoral Drive, Unit 6C, Brampton, ON, Brampton, ON",0.0,0
Growing Beautiful Smiles,['Cosmetic Dentistry'],416-892-4421,"523 Guelph Street, Norval, ON",0.0,0
Axis Dental Group-Dr Terry Papneja & Associates,['Cosmetic Dentistry'],905-452-7111,"14 Lisa St, Brampton, ON",0.0,0
Dr. Mustafa Abouzgia Oral Surgery Brampton,"['Cosmetic Dentistry', 'Oral Surgeons']",289-201-8965,"1D Conestoga Dr., Brampton, ON",0.0,0
Gentle Care Dental,['Cosmetic Dentistry'],905-456-3368,"8601 Mississauga Road, Brampton, ON",0.0,0
Dental Marketing Experts,['Marketing Consultants'],844-797-3900,"2051 Williams Pkwy, Brampton, ON",0.0,0
